YEAR,Duration,PEAK DISCHARGE,PD in m3/s,Volume in Cuseecs,V in m3/s
1977,102,452511.9118,12813.71039,10064413.5,284992.4531
1978,101,957919.4851,27125.25911,35833080,1014679.829
1979,89,442888.4494,12541.20428,15182284,429914.4069
1980,87,514955.5747,14581.91801,9794534,277350.3167
1981,130,509944.2462,14440.01299,15284217.5,432800.8422
1982,87,399757.5769,11319.87398,8802627,249262.6384
1983,106,706017.4717,19992.18844,11222176,317776.6362
1984,98,437127.4286,12378.07034,13932751.5,394531.5868
1985,90,282316.4667,7994.312077,9638355,272927.8199
1986,84,1055510.19,29888.72014,24484049,693311.0595
1987,110,194226.2727,5499.875569,7118640,201577.4368
1988,118,1017528.534,28813.1994,35895413.5,1016444.917
1989,90,763494.0222,21619.7431,8481969,240182.615
1990,124,394591.2903,11173.58103,13510246,382567.5634
1991,95,430084.3158,12178.63159,18080587,511985.2084
1992,100,833579.5361,23604.34385,23911957,677111.2181
1993,104,411272.9865,11645.95407,1360529.5,38525.90514
1994,81,601806.6,17041.26517,29348541,831058.1332
1995,105,882513.6667,24990.00411,29877828,846045.872
1996,100,634224.36,17959.23391,24625789,697324.6893
1997,101,681930.5941,19310.12402,11177466,316510.59
1998,142,474887.6901,13447.32187,10439192.5,295605.0126
1999,98,280752.0408,7950.01247,5028398,142388.3748
2000,84,92124.33735,2608.670728,535365.5,15159.86273
2001,55,115156.8554,3260.879009,1201357,34018.64187
2002,92,125984.9639,3567.496894,624766.5,17691.41714
2003,106,228113.9639,6459.46812,8610924,243834.2139
2004,100,61991.85542,1755.41386,3008079.5,85179.32574
2005,60,377367.05,10685.84486,11114243.5,314720.3282
2006,112,436861.1161,12370.52921,5755953.5,162990.4523
2007,129,196107.4264,5553.143908,4908224,138985.426
2008,81,149887.6296,4244.345014,4281426,121236.4832
2009,79,93322.22785,2642.59121,1234715,34963.23524
2010,71,989736.5493,28026.21803,22592961,639761.4107
2011,112,153755.4286,4353.868884,2173315,61541.42745
2012,82,112596.1707,3188.368493,2066424,58514.6114
